Publishing Year,language_code,Book_average_rating,Book_ratings_count,genre,gross sales,publisher revenue,sale price,sales rank,units sold,publisher_code,author_rating
1987.0,0.0,4.61,117788,1,1886.22,1131.732,4.99,273,378,6,1
2006.0,0.0,3.77,139168,0,1124.24,674.544,2.99,274,376,0,2
1899.0,0.0,3.63,125474,0,371.25,0.0,0.99,275,375,0,2
2009.0,0.0,3.93,138103,0,1871.25,1122.75,4.99,275,375,7,2
2006.0,0.0,4.09,102193,0,1488.27,0.0,3.99,276,373,0,2
1989.0,0.0,4.08,105317,0,1115.27,669.162,2.99,276,373,1,2
1996.0,0.0,4.33,111779,0,366.3,0.0,0.99,278,370,0,2
2010.0,5.0,3.98,102560,1,2775.0,1665.0,7.5,278,370,1,2
1993.0,2.0,4.07,59453,0,1100.32,660.192,2.99,279,368,7,2
1952.0,0.0,4.2,105595,0,1094.34,0.0,2.99,280,366,0,2
1997.0,5.0,4.12,97016,0,4388.34,2633.004,11.99,280,366,6,2
2010.0,0.0,4.01,111239,1,4084.35,2450.61,11.19,281,365,3,2
1812.0,0.0,4.31,116324,0,1811.37,0.0,4.99,282,363,0,2
1967.0,0.0,4.15,134537,0,1085.37,651.222,2.99,282,363,0,2
2013.0,0.0,4.1,95276,0,357.39,214.434,0.99,283,361,0,2
1998.0,0.0,3.79,101999,0,1079.39,647.634,2.99,283,361,6,2
2012.0,0.0,4.24,136761,1,3905.78,2343.468,10.91,285,358,7,2
2008.0,0.0,4.15,106351,0,1064.44,638.664,2.99,286,356,5,2
1960.0,5.0,4.12,117582,1,706.45,423.87,1.99,287,355,8,2
1987.0,5.0,4.16,109595,0,1049.49,0.0,2.99,289,351,0,2
1902.0,0.0,4.07,107313,1,347.49,208.494,0.99,289,351,0,2
2009.0,0.0,3.88,98645,0,346.5,0.0,0.99,290,350,0,2
2010.0,0.0,3.7,106336,0,344.52,0.0,0.99,291,348,0,2
1999.0,0.0,4.23,118467,1,1031.55,618.93,2.99,293,345,8,2
1623.0,0.0,3.8,125178,0,1025.57,0.0,2.99,294,343,0,2
2010.0,0.0,3.98,120763,0,1019.59,0.0,2.99,295,341,0,2
1997.0,0.0,4.24,105026,0,1019.59,611.754,2.99,295,341,8,2
2013.0,0.0,3.46,109412,0,3872.6,2323.56,11.39,296,340,6,3
2007.0,0.0,4.23,132159,0,1686.62,0.0,4.99,297,338,0,2
1932.0,0.0,4.16,108124,0,1676.64,0.0,4.99,298,336,0,2
2003.0,0.0,4.36,113881,0,666.65,399.99,1.99,299,335,3,0
2014.0,0.0,3.81,100936,0,2620.72,1572.432,7.99,303,328,7,2
2012.0,0.0,4.21,138871,0,2875.32,1725.192,8.82,304,326,6,0
2014.0,0.0,3.55,113805,0,1300.74,0.0,3.99,304,326,0,2
2008.0,0.0,3.96,127387,0,2759.25,1655.55,8.49,305,325,3,2
2005.0,0.0,4.12,100513,0,1611.77,967.062,4.99,306,323,8,0
2009.0,0.0,3.85,102936,0,2468.49,1481.094,7.69,307,321,6,2
1986.0,0.0,4.3,123945,0,950.82,0.0,2.99,309,318,0,0
2001.0,2.0,3.59,115855,0,1576.84,0.0,4.99,310,316,0,2
1854.0,0.0,3.79,108062,1,2044.35,1226.61,6.49,311,315,7,2
